,trialname,year,type,outcome,n1,N1,n0,N0,hr,lci,uci,p.value,t.rate,p.rate,size,outcomen,ordertrial
1,AMPLITUDE-O,2021,GLP1,allcauseMort,111,2717,69,1359,0.78,0.58,1.06,0.11,2.2,2.8,4076,allcauseMort,9
2,AMPLITUDE-O,2021,GLP1,HospHeartFailure,40,2717,31,1359,0.61,0.38,0.98,0.04,0.8,1.3,4076,HospHF,9
3,AMPLITUDE-O,2021,GLP1,MACE,189,2717,125,1359,0.73,0.58,0.92,0.0069,3.9,5.3,4076,MACE,9
4,AMPLITUDE-O,2021,GLP1,MI,91,2717,58,1359,0.75,0.54,1.05,0.09,1.9,2.4,4076,MI,9
5,AMPLITUDE-O,2021,GLP1,CVMort,75,2717,50,1359,0.72,0.5,1.03,0.07,1.5,2.1,4076,CVMort,9
6,AMPLITUDE-O,2021,GLP1,sustGFRdecl,121,2717,76,1359,0.77,0.57,1.02,NA,2.5,3.1,4076,sustGFRdecl,9
7,AMPLITUDE-O,2021,GLP1,stroke,47,2717,31,1359,0.74,0.47,1.17,0.19,1,1.3,4076,stroke,9
8,CANVAS program,2017,SGLT2,allcauseMort,NA,5795,NA,4347,0.87,0.74,1.01,NA,1.73,1.95,10142,allcauseMort,2
9,CANVAS program,2017,SGLT2,CVMort,268,5795,185,4347,0.87,0.72,1.06,NA,1.16,1.28,10142,CVMort,2
10,CANVAS program,2017,SGLT2,HospHeartFailure,123,5795,120,4347,0.67,0.52,0.87,NA,0.55,0.87,10142,HospHF,2
11,CANVAS program,2017,SGLT2,MI,248,5795,173,4347,0.89,0.73,1.09,NA,1.12,1.26,10142,MI,2
12,CANVAS program,2017,SGLT2,stroke,176,5795,133,4347,0.87,0.69,1.09,NA,0.79,0.96,10142,stroke,2
13,CANVAS program,2017,SGLT2,sustGFRdecl,124,5795,125,4347,0.6,0.47,0.77,NA,0.55,0.9,10142,sustGFRdecl,2
14,CANVAS program,2017,SGLT2,MACE,585,5795,426,4347,0.86,0.75,0.97,NA,2.69,3.15,10142,MACE,2
15,CREDENCE,2019,SGLT2,CVMort,110,2202,140,2199,0.78,0.61,1,NA,1.9,2.44,4401,CVMort,4
16,CREDENCE,2019,SGLT2,HospHeartFailure,89,2202,141,2199,0.61,0.47,0.8,NA,1.57,2.53,4401,HospHF,4
17,CREDENCE,2019,SGLT2,MACE,217,2202,269,2199,0.8,0.67,0.95,NA,3.87,4.87,4401,MACE,4
18,CREDENCE,2019,SGLT2,allcauseMort,168,2202,201,2199,0.83,0.68,1.02,NA,2.9,3.5,4401,allcauseMort,4
19,CREDENCE,2019,SGLT2,stroke,NA,2202,NA,2199,0.77,0.55,1.08,NA,1.09,1.42,4401,stroke,4
20,CREDENCE,2019,SGLT2,sustGFRdecl,153,2202,224,2199,0.66,0.53,0.81,NA,2.7,4.04,4401,sustGFRdecl,4
21,CREDENCE,2019,SGLT2,MI,NA,2202,NA,2199,0.86,0.64,1.16,NA,1.46,1.69,4401,MI,4
22,DAPA-CKD,2020,SGLT2,allcauseMort,101,2152,146,2152,0.69,0.53,0.88,NA,2.2,3.2,4304,allcauseMort,8
23,DAPA-CKD,2020,SGLT2,CVMort,65,2152,80,2152,0.85,0.59,1.21,NA,1.7,2.1,4304,CVMort,8
24,DAPA-CKD,2020,SGLT2,HospHeartFailure,37,2152,71,2152,0.51,0.34,0.76,NA,0.8,1.6,4304,HospHF,8
25,DAPA-CKD,2020,SGLT2,MI,NA,2152,NA,2152,NA,NA,NA,NA,NA,NA,4304,MI,8
26,DAPA-CKD,2020,SGLT2,stroke,NA,2152,NA,2152,NA,NA,NA,NA,NA,NA,4304,stroke,8
27,DAPA-CKD,2020,SGLT2,sustGFRdecl,142,2152,243,2152,0.56,0.45,0.68,NA,3.3,5.8,4304,sustGFRdecl,8
28,DAPA-CKD,2020,SGLT2,MACE,132,2152,143,2152,0.92,0.72,1.16,NA,2.9,3.1,4304,MACE,8
29,DAPA-HF,2020,SGLT2,CVMort,227,2373,273,2371,0.82,0.69,0.98,NA,6.5,7.9,4744,CVMort,6
30,DAPA-HF,2020,SGLT2,HospHeartFailure,231,2373,318,2371,0.7,0.59,0.83,NA,6.9,9.8,4744,HospHF,6
31,DAPA-HF,2020,SGLT2,MACE,NA,2373,NA,2371,NA,NA,NA,NA,NA,NA,4744,MACE,6
32,DAPA-HF,2020,SGLT2,allcauseMort,276,2373,329,2371,0.83,0.71,0.97,NA,7.9,9.5,4744,allcauseMort,6
33,DAPA-HF,2020,SGLT2,stroke,NA,2373,NA,2371,NA,NA,NA,NA,NA,NA,4744,stroke,6
34,DAPA-HF,2020,SGLT2,sustGFRdecl,28,2373,39,2371,0.71,0.44,1.16,NA,0.8,1.2,4744,sustGFRdecl,6
35,DAPA-HF,2020,SGLT2,MI,NA,2373,NA,2371,NA,NA,NA,NA,NA,NA,4744,MI,6
36,DECLARE-TIMI 58,2019,SGLT2,allcauseMort,529,8582,570,8578,0.93,0.82,1.04,NA,1.51,1.64,17160,allcauseMort,3
